Name;Tweet Link;Timestamp;Query;Tweet Date;Twitter ID;Handle;Text;Profile URL
anit;https://twitter.com/sweetisfyingg/status/1950502204701315483;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Wed Jul 30 10:22:18 +0000 2025;1161522008137461760;sweetisfyingg;"WTS - Preloved Topi Eiger Women Grey
- 100rb br 2x pakai
- aku beli 180rb di store cm dpt disc 5%, di shopee mall eiger udah sold
- shipping dr Kota Bengkulu, CO by oren
- DM buat detail pake video &amp; rules yah https://t.co/Sxko7XIYkb";https://twitter.com/sweetisfyingg
Radio PRFM;https://twitter.com/PRFMnews/status/1959948799805460721;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Mon Aug 25 11:59:42 +0000 2025;150589950;PRFMnews;"TOKO PERTAMA EIGER WOMEN &amp; JUNIOR DI INDONESIA, DIBUKA DI SURABAYA

EIGER resmi membuka store pertama khusus @eiger.women &amp; eiger.junior di Surabaya. Toko ini menjadi toko pertama di Indonesia untuk EIGER Women &amp; Junior. Berlokasi di Jl. Raya Manyar No. 74 Kota Surabaya.

EIGER https://t.co/G566Jlpqd5";https://twitter.com/PRFMnews
k ˖᯽*.ﾟ;https://twitter.com/gongjynim/status/1828025949264453816;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Mon Aug 26 11:05:24 +0000 2024;945101218753298432;gongjynim;eiger women jadi konsep warna neo gini…… menarik 😂😂 https://t.co/MCr2GYkQc4;https://twitter.com/gongjynim
elvina - ihsan;https://twitter.com/elvina1902/status/1982323751778963842;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Sun Oct 26 05:49:46 +0000 2025;251598820;elvina1902;Cek EIGER WOMEN VIRERE WINDBLOCK JACKET dengan harga Rp649.000. Dapatkan di Shopee sekarang! https://t.co/91aYvYJUlC https://t.co/m2D45ucrCD;https://twitter.com/elvina1902
neessa;https://twitter.com/neesza_/status/1985199254198173977;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Mon Nov 03 04:16:00 +0000 2025;1780464255122472960;neesza_;akun gue insight nya naik bgt grgr kmrn direpost eiger women 😭 https://t.co/YX4TCK5UQv;https://twitter.com/neesza_
✨️;https://twitter.com/majutigalangkah/status/2000150408711516539;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Sun Dec 14 10:26:33 +0000 2025;929547918943469569;majutigalangkah;Cek EIGER WOMEN LOENIE MINI DAYPACK 12L dengan harga Rp359.000. Dapatkan di #Shopee sekarang! https://t.co/xI3K6uBG6n https://t.co/dswW2eYRJK;https://twitter.com/majutigalangkah
elvina - ihsan;https://twitter.com/elvina1902/status/1982100798420197864;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Sat Oct 25 15:03:50 +0000 2025;251598820;elvina1902;Cek EIGER WOMEN SNEFFELS DIGITAL WATCH dengan harga Rp539.000. Dapatkan di Shopee sekarang! https://t.co/XHwgzbHpcS https://t.co/Ehz8pC6TcU;https://twitter.com/elvina1902
JPNN.com;https://twitter.com/jpnncom/status/1915560516053008419;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Fri Apr 25 00:16:31 +0000 2025;79130206;jpnncom;"EIGER Adventure mengundang perempuan dengan berbagai latar belakang untuk belajar kelimuan dan praktek bertahan hidup di alam terbuka dalam agenda bertajuk EIGER Women Jungle Survival Course (WJSC) 2025 di kaki Gunung Galunggung, 21-27 April 2025.

#WJSC2025
#Survival
#Eiger https://t.co/sWcNUcuThd";https://twitter.com/jpnncom
elvina - ihsan;https://twitter.com/elvina1902/status/1984521899444224287;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Sat Nov 01 07:24:26 +0000 2025;251598820;elvina1902;Cek EIGER WOMEN CALDERA ROLL STRAP 3.0 SANDALS dengan harga Rp309.000. Dapatkan di Shopee sekarang! https://t.co/ZNtkbIHhpK https://t.co/Csmk0xzTMq;https://twitter.com/elvina1902
EIGER;https://twitter.com/eigeradventure/status/1838415611333849461;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Tue Sep 24 03:10:12 +0000 2024;67260968;eigeradventure;"Cek botol kamu, udah ada tanda BPA Free?😉
Yuk belanja Botol EIGER Women di store, marketplace dan website resmi EIGER dengan menggunakan kode “WS” saat pencarian. #EIGERAdventure #EIGERWomen #HerAdventure #BPAFree #BPAFreeBottle #EIGER #BotolEIGER #WaterBottle https://t.co/zwik9KHu1l";https://twitter.com/eigeradventure
