favorite_count,full_text,lang,quote_count,reply_count,retweet_count,username,remove_user,cleaning,tokenized_Content
106,Guys I love the rising sun Pepe meme as much as you but every time I post it I jinx the price action! $GME,en,0.0,6.0,1.0,CokeRatCramer,Guys I love the rising sun Pepe meme as much as you but every time I post it I jinx the price action! $GME,Guys I love the rising sun Pepe meme as much as you but every time I post it I jinx the price action GME,"['""Guys""', '""I""', '""love""', '""the""', '""rising""', '""sun""', '""Pepe""', '""meme""', '""as""', '""much""', '""as""', '""you""', '""but""', '""every""', '""time""', '""I""', '""post""', '""it""', '""I""', '""jinx""', '""the""', '""price""', '""action""', '""!""', '""$""', '""GME""']"
177,i love jinx so much this season i just want to hug her and eat cereal with her,en,1.0,0.0,51.0,vibicep,i love jinx so much this season i just want to hug her and eat cereal with her,i love jinx so much this season i just want to hug her and eat cereal with her,"['""i""', '""love""', '""jinx""', '""so""', '""much""', '""this""', '""season""', '""i""', '""just""', '""want""', '""to""', '""hug""', '""her""', '""and""', '""eat""', '""cereal""', '""with""', '""her""']"
129,at the end of the day ive only have dives.,en,0.0,0.0,27.0,jiheulz,at the end of the day ive only have dives.,at the end of the day ive only have dives ,"['""at""', '""the""', '""end""', '""of""', '""the""', '""day""', '""ive""', '""only""', '""have""', '""dives""', '"".""']"
10,You are selling $fwog $michi $wif $bonk $popcat For TikTok memes. If you making money on those pull out and rotate!,en,0.0,0.0,0.0,MoonEkko33,You are selling $fwog $michi $wif $bonk $popcat For TikTok memes. If you making money on those pull out and rotate!,You are selling fwog michi wif bonk popcat For TikTok memes If you making money on those pull out and rotate ,"['""You""', '""are""', '""selling""', '""$""', '""fwog""', '""$""', '""michi""', '""$""', '""wif""', '""$""', '""bonk""', '""$""', '""popcat""', '""For""', '""TikTok""', '""memes""', '"".""', '""If""', '""you""', '""making""', '""money""', '""on""', '""those""', '""pull""', '""out""', '""and""', '""rotate""', '""!""']"
10,I support degens but will degens support me?!?!,en,0.0,1.0,0.0,MoonEkko33,I support degens but will degens support me?!?!,I support degens but will degens support me ,"['""I""', '""support""', '""degens""', '""but""', '""will""', '""degens""', '""support""', '""me""', '""?""', '""!""', '""?""', '""!""']"
19,me and oomf fujoing out in secret digging tunnels creating passages to communicate silent rts hiding in likes we know it is sin. but we must.,en,0.0,5.0,1.0,guoaei,me and oomf fujoing out in secret digging tunnels creating passages to communicate silent rts hiding in likes we know it is sin. but we must.,me and oomf fujoing out in secret digging tunnels creating passages to communicate silent rts hiding in likes we know it is sin but we must ,"['""me""', '""and""', '""oomf""', '""fujoing""', '""out""', '""in""', '""secret""', '""digging""', '""tunnels""', '""creating""', '""passages""', '""to""', '""communicate""', '""silent""', '""rts""', '""hiding""', '""in""', '""likes""', '""we""', '""know""', '""it""', '""is""', '""sin""', '"".""', '""but""', '""we""', '""must""', '"".""']"
76,Arcane season 1 is definitely better than season 2 but I m a Jinx fan so none of that really matters,en,4.0,4.0,16.0,EisakuOtomo,Arcane season 1 is definitely better than season 2 but I m a Jinx fan so none of that really matters,Arcane season is definitely better than season but I m a Jinx fan so none of that really matters,"['""Arcane""', '""season""', '""1""', '""is""', '""definitely""', '""better""', '""than""', '""season""', '""2""', '""but""', '""I""', '""m""', '""a""', '""Jinx""', '""fan""', '""so""', '""none""', '""of""', '""that""', '""really""', '""matters""']"
71,very satisfied with all the jinx content this season everyone else go fuck yourself,en,0.0,1.0,16.0,butchifye,very satisfied with all the jinx content this season everyone else go fuck yourself,very satisfied with all the jinx content this season everyone else go fuck yourself,"['""very""', '""satisfied""', '""with""', '""all""', '""the""', '""jinx""', '""content""', '""this""', '""season""', '""everyone""', '""else""', '""go""', '""fuck""', '""yourself""']"
9,I adore jinx and ekko,en,0.0,4.0,0.0,gothgetou,I adore jinx and ekko,I adore jinx and ekko,"['""I""', '""adore""', '""jinx""', '""and""', '""ekko""']"
48,EKKO PLEASE IF YOU CAN HEAR US PLEASE SHATTER TIME,en,0.0,0.0,7.0,guoaei,EKKO PLEASE IF YOU CAN HEAR US PLEASE SHATTER TIME,EKKO PLEASE IF YOU CAN HEAR US PLEASE SHATTER TIME,"['""EKKO""', '""PLEASE""', '""IF""', '""YOU""', '""CAN""', '""HEAR""', '""US""', '""PLEASE""', '""SHATTER""', '""TIME""']"
