tweet_date,twitter_id,handle,Text,profile_url,name,tweet_link,timestamp,query
Wed Dec 17 14:05:04 +0000 2025,1377914745324331012,remeanzzs,Mau beli samsung pl,https://twitter.com/remeanzzs,𝐍𝐨 𝐍𝐚𝐦𝐞 || ᴄᴀʟʟ ᴍᴇ ʀᴇᴍᴇ,https://twitter.com/remeanzzs/status/2001292566856073624,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 14:00:06 +0000 2025,1590251018603745281,httpcacaa,hp aku yg samsung ada banyak case tp dah pada rusak dan belum pernah sempat aku fotoin 😔,https://twitter.com/httpcacaa,caca.,https://twitter.com/httpcacaa/status/2001291315280282043,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:56:20 +0000 2025,1555494481755271168,RekomendasiArya,Samsung Galaxy Tab S8 Turun Harga Anjlok Parah Cek harga promo : https://t.co/Cyb2iVuA5R https://t.co/cdo9OqOSaQ,https://twitter.com/RekomendasiArya,Produk Rekomendasi,https://twitter.com/RekomendasiArya/status/2001290366444876098,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:54:37 +0000 2025,51739391,emogibran,Jujur iphone air sama samsung s25 edge manis sih,https://twitter.com/emogibran,gome,https://twitter.com/emogibran/status/2001289934821556597,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:53:07 +0000 2025,1799833286195150848,Indemosyd,@ambuikem Samsung s25 ultra,https://twitter.com/Indemosyd,Cindy☘️,https://twitter.com/Indemosyd/status/2001289560240570716,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:44:22 +0000 2025,2733305022,tinybiet,"@anarwoh tiati kaak klo sama vc samsung, vilog ajaa sini di @obsemsi https://t.co/jAykGInUYs",https://twitter.com/tinybiet,iLz.,https://twitter.com/tinybiet/status/2001287356700377202,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:43:50 +0000 2025,2733305022,tinybiet,"@cuanelle tiati kaak klo sama vc samsung, vilog ajaa sini di @obsemsi https://t.co/W25TzqBPT2",https://twitter.com/tinybiet,iLz.,https://twitter.com/tinybiet/status/2001287220955856945,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:40:21 +0000 2025,1296333314186338305,_potatochipsu,@roblox_fess diblokir itu karna sering gonta ganti akun buat payment di samsung,https://twitter.com/_potatochipsu,delulu,https://twitter.com/_potatochipsu/status/2001286346703548502,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:39:49 +0000 2025,1385607124789567490,cerisestrw,"@dialogsitirobi dulu gua gamau bgt top up buat game, tp grgr ada diskon besar-besaran buat samsung user gua akhirnya kegoda cuii buat top up robux 😭",https://twitter.com/cerisestrw,kii,https://twitter.com/cerisestrw/status/2001286210099269764,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:39:23 +0000 2025,1413447750310514690,schneeheldsilv7,@CtrlAltTaboo Bakal ikutin Samsung Galaxy A60 WKWK,https://twitter.com/schneeheldsilv7,Koko Silv Rheinfalen 🕰️❤️‍🔥,https://twitter.com/schneeheldsilv7/status/2001286102385373364,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
