"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1951438998758379897","Sat Aug 02 00:24:47 +0000 2025","0","baru inget kemarin sore liat truk lewat ngibarin bendera one piece","1951438998758379897","","","in","","0","0","0","https://x.com/undefined/status/1951438998758379897","1237712474448621568",
"1951438911391277353","Sat Aug 02 00:24:27 +0000 2025","0","Negara ini nggak butuh revolusi cukup ganti penulis naskah. Plot-nya basi: musuh lama dipeluk kawan lama ditusuk lalu koalisi demi stabilitas . Warga mikir liar dikira makar bawa bendera One Piece aja dicurigai pengkhianat. Ini demokrasi atau drama sinetron?","1951438911391277353","","","in","","0","0","0","https://x.com/undefined/status/1951438911391277353","1063247714161385472",
"1951244019079716984","Sat Aug 02 00:23:26 +0000 2025","0","@tempodotco Si Budi udah pikun soal bendera negaranya sendiri. Bendera One Piece dan Bendera lainnya yg bukan bendera negara memang ga ada aturan melanggar hukum. Kalo ada yg dipenjara artinya hukum sdh dikangkangi mereka. Spt nya mereka adalah Hukum dan Hakim.","1951438655408709745","","tempodotco","in","","0","0","0","https://x.com/undefined/status/1951438655408709745","1537314103269548032",
"1951438103547355416","Sat Aug 02 00:21:14 +0000 2025","0","Beneran ternyata banyak yang kompak ga pasang hiasan2 bendera ini baru pertama kali kayak gini apa dulu ada juga? Pas liat di sosial media juga ada yang masang bendera one piece di bawah bendera merah putih.","1951438103547355416","","","in","","0","0","0","https://x.com/undefined/status/1951438103547355416","424125482",
"1951261465337537023","Sat Aug 02 00:20:45 +0000 2025","2","@ElvinaNara Semoga kakak Safira segera sadar. Selama bendera one piece masih di bawah sang saka merah putih NO PROBLEM. DAMN I LOVE INDONESIA kak. Tapi sedih dengan para bajingan yg bikin kebijakan ngawur SDA yg disedot oligarki seolah Indonesia ini punya mereka.","1951437981908381774","","ElvinaNara","in","","0","0","0","https://x.com/undefined/status/1951437981908381774","1380432358055141376",
"1951437755441136086","Sat Aug 02 00:19:51 +0000 2025","0","Perbedaan generasi membuat pemerintah salah dalam menyikapi maraknya bendera one piece ","1951437755441136086","","","in","","0","0","0","https://x.com/undefined/status/1951437755441136086","1883330659021914113",
"1951244019079716984","Sat Aug 02 00:17:41 +0000 2025","0","@tempodotco Denger2 katanya tgl 17 Agustus segala macam transaksi digital bakalan tercatat NIKnya ya? Buat meminimalisir penghindaran pajak. Pantes bendera One Piece jadi tameng ","1951437208860369282","","tempodotco","in","","0","0","0","https://x.com/undefined/status/1951437208860369282","1708327696588283904",
"1951167239304167812","Sat Aug 02 00:13:09 +0000 2025","0","@PawonReport @bangherwin Ini contoh pemasangan bendera yang salah.!! Merah putih benderanya dibawah bendera one piece!!!","1951436068139704822","","PawonReport","in","","0","0","0","https://x.com/undefined/status/1951436068139704822","1666993550767292416",
"1951416506639851913","Sat Aug 02 00:12:53 +0000 2025","0","@Hilmi28 Ngibarin bendera tauhid di bilang teroris ngibarin bendera one piece di pidana. Serba salah jadi rakyat","1951436002158944305","","Hilmi28","in","","0","0","0","https://x.com/undefined/status/1951436002158944305","78855787",
"1951434668630483321","Sat Aug 02 00:07:35 +0000 2025","1","Revolusi amerika terjadi karena sugar act yg ga adil dan apa² dipajakin. Indonesia sekarang apa² dipajakin tapi pembangunan masih ga merata dan kemiskinan masih tinggi terus di bulan agustus mulai banyak yg pake bendera one piece buat protes. Hmm ","1951434668630483321","","","in","","0","0","0","https://x.com/undefined/status/1951434668630483321","1219965308548419589",
