"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1951649580308996277","Sat Aug 02 14:21:34 +0000 2025","0","Malam Minggu disini ajah lah -Dibawah Tiang Bendera- https://t.co/YTEA57C2cc","1951649580308996277","https://pbs.twimg.com/media/GxWmskqbQAAJS8j.jpg","","in","","0","0","0","https://x.com/undefined/status/1951649580308996277","1903288850287562752",
"1951649448368726073","Sat Aug 02 14:21:03 +0000 2025","0","Bendera merah putih terlalu bersih untuk berkibar di negara yang penuh tikus-tikus berdasi dan menyengsarakan rakyatnya sendiri.","1951649448368726073","","","in","","0","0","0","https://x.com/undefined/status/1951649448368726073","1816434490228850688",
"1951649370753094127","Sat Aug 02 14:20:44 +0000 2025","13"," Bendera Palestina terlihat jelas kemarin di Aberdeen- Skotlandia tempat ratusan orang berkumpul untuk memprotes kunjungan Presiden Amerika Donald Trump. https://t.co/vUCCyQsxoN","1951649370753094127","https://pbs.twimg.com/ext_tw_video_thumb/1951649282341380098/pu/img/v6j2il-Cx7O_J707.jpg","","in","","0","1","8","https://x.com/undefined/status/1951649370753094127","1411746201905426434",
"1951302190943051782","Sat Aug 02 14:18:25 +0000 2025","33","@kegblgnunfaedh ayo pasang bendera wanpis https://t.co/07ETNBNCof","1951648789435121800","https://pbs.twimg.com/media/GxWmOzvaEAAbzi3.jpg","kegblgnunfaedh","in","","0","0","0","https://x.com/undefined/status/1951648789435121800","1659736799101743104",
"1951648688247636179","Sat Aug 02 14:18:01 +0000 2025","0","Beli bendera One Piece ah Mau ikutan Fomo ️","1951648688247636179","","","in","","0","0","0","https://x.com/undefined/status/1951648688247636179","1671230667240386560",
"1951648630441722245","Sat Aug 02 14:17:48 +0000 2025","0","Apa gue ngibarin bendera Bofurin aja ya....","1951648630441722245","","","in","","0","0","0","https://x.com/undefined/status/1951648630441722245","101994164",
"1951648599819096469","Sat Aug 02 14:17:40 +0000 2025","0","nenek gua lgi gencar banget mau beli tiang bendera (lagi) buat ngibarin bendera. pengen rasanya gua jeplak ngapain ngibarin bendera red&amp;white buat negara yg makin carut marut ini kalo bendera OP baru gua setuju ‍","1951648599819096469","","","in","","0","0","0","https://x.com/undefined/status/1951648599819096469","328388031",
"1951648588674859279","Sat Aug 02 14:17:38 +0000 2025","0","Bangsa yang besar adalah bangsa yang menghargai jasa para pahlawannya! Mari kita semarakkan HUT RI ke-80 dengan mengibarkan Bendera Merah Putih ️ selama 1 bulan penuh mulai 1 31 Agustus 2025 Tunjukkan semangat cinta tanah air Dari rumah kantor hingga sekolah https://t.co/UKt4J7iCF5","1951648588674859279","https://pbs.twimg.com/media/GxWmCnvawAATvDt.jpg","","in","","0","0","0","https://x.com/undefined/status/1951648588674859279","1552273143213215746",
"1951536930270986670","Sat Aug 02 14:17:16 +0000 2025","2","@neohistoria_id katanya bangsa yang besar masa takut sama bendera anime yg sifatnya FIKSI","1951648498342097280","","neohistoria_id","in","","0","0","0","https://x.com/undefined/status/1951648498342097280","1032206770100293633",
"1951270821873459675","Sat Aug 02 14:17:14 +0000 2025","0","@7Leg_Piece Simpang siur respon pejabat Indonesia: 1. Menteri BG @PolkamRI : gerakan pengibaran bendera One Piece merupakan bentuk provokasi yang bisa menurunkan wibawa dan derajat bendera Merah Putih 2. Politisi @Gerindra dan Ketua @DPR_RI @bang_dasco : Ada upaya sistematis yang https://t.co/8HkYNYM9J8","1951648488011493865","https://pbs.twimg.com/media/GxWl9QkaMAAhcV5.png","7Leg_Piece","in","","0","0","0","https://x.com/undefined/status/1951648488011493865","363380931",
"1951646480336556135","Sat Aug 02 14:17:05 +0000 2025","0","@AftMyeo gak ono bendera one piece?","1951648451944730661","","AftMyeo","in","","0","0","0","https://x.com/undefined/status/1951648451944730661","1636253380141285377",
"1951648386471604734","Sat Aug 02 14:16:49 +0000 2025","0","the whole discourse of bendera one piece tiba2 viral karena jadi simbol perlawanan is so funny and iconic lmao","1951648386471604734","","","en","","0","1","0","https://x.com/undefined/status/1951648386471604734","1899507908213448704",
"1951648052130787373","Sat Aug 02 14:15:30 +0000 2025","1","25 Meter Bendera Segitiga Merah Putih Kain Hias Dekorasi Festival Bunting Flag Renteng Dinding https://t.co/EAUKQX9rQ7","1951648052130787373","","","in","","0","0","0","https://x.com/undefined/status/1951648052130787373","1804382993798303744",
"1951648024536740108","Sat Aug 02 14:15:23 +0000 2025","0","chenle tunggu dlu yeah kesemsem nya di tunda dlu rumah gweh kedatengan bendera dr rt bezir disuruh bantuin psti dirimu lg ngegame di hotel yeah apa mo pulang? https://t.co/ReoWyx8nI2","1951648024536740108","https://pbs.twimg.com/media/GxWlhtLbkAAvjs0.jpg","","in","","0","1","0","https://x.com/undefined/status/1951648024536740108","1756624922066182144",
"1951647937962152161","Sat Aug 02 14:15:02 +0000 2025","0","Bangsa yang besar adalah bangsa yang menghargai jasa para pahlawannya! Mari kita semarakkan HUT RI ke-80 dengan mengibarkan Bendera Merah Putih ️ selama 1 bulan penuh mulai 1 31 Agustus 2025 Tunjukkan semangat cinta tanah air Dari rumah kantor hingga sekolah https://t.co/F4GcKq35fD","1951647937962152161","https://pbs.twimg.com/media/GxWldKsbwAAxoKn.jpg","","in","","0","0","0","https://x.com/undefined/status/1951647937962152161","1329271703239680007",
"1951647931679019300","Sat Aug 02 14:15:01 +0000 2025","0","Ngapain pasang bendera merah putih emang kita udah merdeka? Korupsi aja masih ada dimana2 pejabatnya serakah polisinya gampang disuap tentaranya dikasih jabatan sipil pajaknya dinaikkan jumlah yg kena pajak ditambah urus surat dipersulit dll jadi itu namanya merdeka?","1951647931679019300","","","in","","0","0","0","https://x.com/undefined/status/1951647931679019300","1945973528",
